Korean,Pronunciation,English,Hindi
안녕하세요,annyeonghaseyo,Hello,नमस्ते
사랑,salang,Love,प्यार
감사합니다,kamsahamnida,Thank you,धन्यवाद
미안해요,mianhaeyo,I'm sorry,मुझे माफ कर दो
이해해요,ihaehaeyo,I understand,मुझे समझ में आ गया
도와주세요,dowajuseyo,Help me,मुझे मदद करो
감사해요,gamsahaeyo,Thanks,धन्यवाद
고마워요,kamawoyo,Thanks,धन्यवाद
사랑해요,saranghaeyo,I love you,मैं तुमसे प्यार करता/करती हूँ
보고 싶어,bogo sip-eo,I miss you,मुझे तुम्हारी यादें आती हैं
죄송합니다,joesonghamnida,I'm sorry,मुझे खेद है
괜찮아요,gwaenchana,It's okay,ठीक है
싫어요,silhaeyo,I don't like it,मुझे यह पसंद नहीं है
좋아요,joh-ayo,I like it,मुझे यह पसंद है
고맙습니다,gomapseumnida,Thank you,आपका आभार
잘 가,jal ga,Goodbye,अलविदा
안녕히 계세요,annyeonghi gyeseyo,Goodbye (to someone staying),आप ठीक से रहें
다시 만나요,dasi mannayo,See you again,फिर मिलेंगे
좋아해,joh-ahae,I like it,मुझे यह पसंद है
싫어,silhae,I don't like it,मुझे यह पसंद नहीं है
가자,gaja,Let's go,चलो
기다려,kidalyeo,Wait,ठहरो
뭐라고,mweorago,What did you say?,तुमने क्या कहा?
이름,ireum,Name,नाम
어떻게,eotteoke,How,कैसे
무엇,mu-eot,What,क्या
어디,eodi,Where,कहाँ
왜,wae,Why,क्यों
언제,eonje,When,कब
누구,nugu,Who,कौन
뭐,mwo,What,क्या
많이,manh-i,Many,बहुत
적게,jeogge,Few,थोड़ा
모두,modu,All,सभी
조금,jogeum,A little,थोड़ा-सा
맛있다,masyeotda,Delicious,स्वादिष्ट
예쁘다,yepeuda,Pretty,सुंदर
같다,gatda,Same,एकसमान
다르다,daleuda,Different,विभिन्न
좋다,jota,Good,अच्छा
나쁘다,nappeuda,Bad,बुरा
어렵다,eolyeobda,Difficult,कठिन
쉽다,swipda,Easy,आसान
매우,maeu,Very,बहुत
조용히,joyonghi,Quietly,शांती से
빨리,ppalli,Quickly,जल्दी
느리게,neulige,Slowly,धीरे-धीरे
많이,manhi,A lot,बहुत
웃다,utda,To laugh,हंसना
울다,ulda,To cry,रोना
고맙다,gomapda,To be thankful,आभारी
도와주세요,dowajuseyo,Help me,मुझे मदद करो
좋아해요,johahaeyo,I like it,मुझे यह पसंद है
싫어해요,silheohaeyo,I don't like it,मुझे यह पसंद नहीं है
어떻게,eotteoke,How,कैसे
어디에,eodie,Where,कहाँ
무엇을,mueoseul,What,क्या
왜,wae,Why,क्यों
언제,eonje,When,कब
누구,nugu,Who,कौन
뭐,mwo,What,क्या
매우,maeu,Very,बहुत
조금,jogeum,A little,थोड़ा-सा
많이,mani,A lot,बहुत
조용히,joyonghi,Quietly,शांती से
빨리,ppalli,Quickly,जल्दी
느리게,neulige,Slowly,धीरे-धीरे
맛있는,masinneun,Delicious,स्वादिष्ट
예쁜,yeppeun,Pretty,सुंदर
